DATE,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature
2015-10-20T23:59:00,68,73,62
2015-10-21T23:59:00,68,74,62
2015-10-22T23:59:00,68,74,62
2015-10-23T23:59:00,69,76,62
2015-10-24T23:59:00,73,85,61
2015-10-25T23:59:00,73,82,64
2015-10-26T23:59:00,70,78,61
2015-10-27T23:59:00,70,80,60
2015-10-28T23:59:00,69,75,63
2015-10-29T23:59:00,69,75,63
2015-10-30T23:59:00,72,84,59
2015-10-31T23:59:00,70,81,58
2015-11-01T23:59:00,69,79,58
2015-11-02T23:59:00,65,71,58
2015-11-03T23:59:00,61,67,54
2015-11-04T23:59:00,59,66,52
2015-11-05T23:59:00,60,69,51
2015-11-06T23:59:00,63,74,51
2015-11-07T23:59:00,64,75,53
2015-11-08T23:59:00,61,70,52
2015-11-09T23:59:00,62,68,55
2015-11-10T23:59:00,59,64,53
2015-11-11T23:59:00,61,74,47
2015-11-12T23:59:00,59,71,47
2015-11-13T23:59:00,60,72,48
2015-11-14T23:59:00,64,75,52
2015-11-15T23:59:00,62,68,55
2015-11-16T23:59:00,56,62,49
2015-11-17T23:59:00,55,66,44
2015-11-18T23:59:00,61,73,48
2015-11-19T23:59:00,64,76,52
2015-11-20T23:59:00,64,76,52
2015-11-21T23:59:00,71,84,57
2015-11-22T23:59:00,71,82,59
2015-11-23T23:59:00,67,77,56
2015-11-24T23:59:00,60,67,52
2015-11-25T23:59:00,58,62,53
2015-11-26T23:59:00,56,61,51
2015-11-27T23:59:00,55,60,49
2015-11-28T23:59:00,54,64,44
2015-11-29T23:59:00,57,65,48
2015-11-30T23:59:00,56,67,44
2015-12-01T23:59:00,56,66,45
2015-12-02T23:59:00,61,74,47
2015-12-03T23:59:00,62,73,51
2015-12-04T23:59:00,57,66,48
2015-12-05T23:59:00,60,71,48
2015-12-06T23:59:00,63,74,52
2015-12-07T23:59:00,61,72,50
2015-12-08T23:59:00,62,73,51
2015-12-09T23:59:00,62,72,51
2015-12-10T23:59:00,58,64,51
2015-12-11T23:59:00,56,62,50
2015-12-12T23:59:00,53,62,44
2015-12-13T23:59:00,57,65,48
2015-12-14T23:59:00,52,58,45
2015-12-15T23:59:00,51,61,41
2015-12-16T23:59:00,51,60,41
2015-12-17T23:59:00,52,63,41
2015-12-18T23:59:00,56,68,44
2015-12-19T23:59:00,55,63,46
2015-12-20T23:59:00,55,60,49
2015-12-21T23:59:00,54,62,45
2015-12-22T23:59:00,57,61,53
2015-12-23T23:59:00,57,62,51
2015-12-24T23:59:00,57,63,51
2015-12-25T23:59:00,52,58,46
2015-12-26T23:59:00,54,62,45
2015-12-27T23:59:00,50,60,39
2015-12-28T23:59:00,50,57,42
2015-12-29T23:59:00,48,58,38
2015-12-30T23:59:00,51,60,41
2015-12-31T23:59:00,52,62,42
2016-01-01T23:59:00,53,63,43
2016-01-02T23:59:00,51,61,41
2016-01-03T23:59:00,53,62,44
2016-01-04T23:59:00,59,63,54
2016-01-05T23:59:00,57,58,55
2016-01-06T23:59:00,55,60,50
2016-01-07T23:59:00,52,56,48
2016-01-08T23:59:00,52,59,45
2016-01-09T23:59:00,53,59,46
2016-01-10T23:59:00,56,60,52
2016-01-11T23:59:00,57,66,48
2016-01-12T23:59:00,55,68,42
2016-01-13T23:59:00,52,60,44
2016-01-14T23:59:00,56,62,50
2016-01-15T23:59:00,56,61,51
2016-01-16T23:59:00,57,64,50
2016-01-17T23:59:00,61,71,50
2016-01-18T23:59:00,59,62,56
2016-01-19T23:59:00,57,62,51
2016-01-20T23:59:00,62,66,57
2016-01-21T23:59:00,60,71,49
2016-01-22T23:59:00,60,70,50
2016-01-23T23:59:00,57,62,51
2016-01-24T23:59:00,57,63,50
2016-01-25T23:59:00,56,64,48
2016-01-26T23:59:00,61,74,48
2016-01-27T23:59:00,59,69,48
2016-01-28T23:59:00,59,71,47
2016-01-29T23:59:00,58,68,48
2016-01-30T23:59:00,57,63,50
2016-01-31T23:59:00,56,59,53
2016-02-01T23:59:00,52,58,45
2016-02-02T23:59:00,48,58,38
2016-02-03T23:59:00,53,62,44
2016-02-04T23:59:00,56,70,42
2016-02-05T23:59:00,63,76,50
2016-02-06T23:59:00,65,77,53
2016-02-07T23:59:00,67,80,53
2016-02-08T23:59:00,70,84,56
2016-02-09T23:59:00,70,85,55
2016-02-10T23:59:00,69,82,55
2016-02-11T23:59:00,68,80,55
2016-02-12T23:59:00,65,77,53
2016-02-13T23:59:00,58,69,47
2016-02-14T23:59:00,60,71,49
2016-02-15T23:59:00,73,86,59
2016-02-16T23:59:00,75,90,59
2016-02-17T23:59:00,66,77,55
2016-02-18T23:59:00,60,66,54
2016-02-19T23:59:00,57,63,50
2016-02-20T23:59:00,57,65,48
2016-02-21T23:59:00,58,65,50
2016-02-22T23:59:00,58,68,48
2016-02-23T23:59:00,65,76,53
2016-02-24T23:59:00,68,79,56
2016-02-25T23:59:00,66,78,53
2016-02-26T23:59:00,62,72,52
2016-02-27T23:59:00,62,72,51
2016-02-28T23:59:00,59,65,52
2016-02-29T23:59:00,59,66,52
2016-03-01T23:59:00,60,68,51
2016-03-02T23:59:00,59,65,52
2016-03-03T23:59:00,59,64,53
2016-03-04T23:59:00,61,66,56
2016-03-05T23:59:00,61,67,55
2016-03-06T23:59:00,61,65,56
2016-03-07T23:59:00,54,59,48
2016-03-08T23:59:00,54,64,44
2016-03-09T23:59:00,59,68,50
2016-03-10T23:59:00,60,68,52
2016-03-11T23:59:00,61,68,54
2016-03-12T23:59:00,57,62,51
2016-03-13T23:59:00,58,63,52
2016-03-14T23:59:00,62,65,58
2016-03-15T23:59:00,60,67,52
2016-03-16T23:59:00,64,74,54
2016-03-17T23:59:00,62,70,53
2016-03-18T23:59:00,62,66,57
2016-03-19T23:59:00,61,64,57
2016-03-20T23:59:00,60,65,55
2016-03-21T23:59:00,61,66,56
2016-03-22T23:59:00,59,64,54
2016-03-23T23:59:00,60,70,50
2016-03-24T23:59:00,64,75,52
2016-03-25T23:59:00,61,70,52
2016-03-26T23:59:00,62,66,58
2016-03-27T23:59:00,61,67,54
2016-03-28T23:59:00,58,61,55
2016-03-29T23:59:00,57,61,52
2016-03-30T23:59:00,55,61,48
2016-03-31T23:59:00,56,64,47
2016-04-01T23:59:00,59,65,53
2016-04-02T23:59:00,61,68,53
2016-04-03T23:59:00,59,64,53
2016-04-04T23:59:00,60,68,52
2016-04-05T23:59:00,64,74,53
2016-04-06T23:59:00,63,71,55
2016-04-07T23:59:00,62,65,59
2016-04-08T23:59:00,61,65,57
2016-04-09T23:59:00,62,67,57
2016-04-10T23:59:00,62,66,57
2016-04-11T23:59:00,61,66,55
2016-04-12T23:59:00,61,66,56
2016-04-13T23:59:00,62,65,58
2016-04-14T23:59:00,62,66,58
2016-04-15T23:59:00,62,68,55
2016-04-16T23:59:00,66,80,52
2016-04-17T23:59:00,69,83,55
2016-04-18T23:59:00,71,81,60
2016-04-19T23:59:00,72,82,61
2016-04-20T23:59:00,68,78,58
2016-04-21T23:59:00,64,72,56
2016-04-22T23:59:00,64,68,59
2016-04-23T23:59:00,62,67,56
2016-04-24T23:59:00,62,69,55
2016-04-25T23:59:00,59,62,56
2016-04-26T23:59:00,58,65,51
2016-04-27T23:59:00,60,65,54
2016-04-28T23:59:00,60,64,55
2016-04-29T23:59:00,59,64,54
2016-04-30T23:59:00,60,64,56
2016-05-01T23:59:00,60,65,55
2016-05-02T23:59:00,61,67,54
2016-05-03T23:59:00,62,67,57
2016-05-04T23:59:00,62,65,58
2016-05-05T23:59:00,63,66,59
2016-05-06T23:59:00,60,64,56
2016-05-07T23:59:00,61,66,56
2016-05-08T23:59:00,61,67,55
2016-05-09T23:59:00,63,67,59
2016-05-10T23:59:00,64,67,61
2016-05-11T23:59:00,64,68,60
2016-05-12T23:59:00,63,66,60
2016-05-13T23:59:00,63,66,60
2016-05-14T23:59:00,62,63,60
2016-05-15T23:59:00,64,68,59
2016-05-16T23:59:00,63,66,59
2016-05-17T23:59:00,63,65,61
2016-05-18T23:59:00,65,68,61
2016-05-19T23:59:00,64,67,60
2016-05-20T23:59:00,63,65,60
2016-05-21T23:59:00,61,64,57
2016-05-22T23:59:00,61,67,54
2016-05-23T23:59:00,61,66,56
2016-05-24T23:59:00,63,66,60
2016-05-25T23:59:00,62,67,57
2016-05-26T23:59:00,62,66,58
2016-05-27T23:59:00,64,66,61
2016-05-28T23:59:00,63,66,60
